,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2012,16.12,15.52,14.22,12.72,9.02,7.22,8.02,9.12,10.22,11.82,12.42,17.42
2013,17.52,16.72,16.12,14.02,10.72,8.82,8.82,10.32,11.02,12.82,15.22,17.22
2014,16.72,17.72,15.02,13.92,10.72,9.32,7.42,7.72,10.22,11.42,13.42,15.82
2015,18.02,16.42,16.32,13.32,10.22,7.72,6.92,8.02,8.62,11.52,12.72,14.82
2016,18.22,19.52,16.62,13.12,12.92,9.52,8.72,7.72,10.62,12.22,13.82,15.02
2017,16.72,16.72,15.42,13.12,9.82,7.52,7.02,9.72,10.72,12.62,14.22,17.92
2018,20.82,18.62,16.32,12.82,10.82,8.22,8.82,9.62,10.22,12.42,14.72,17.22
2019,19.72,17.92,17.32,12.72,12.22,8.22,9.42,8.62,10.32,11.52,15.92,16.52
2020,17.72,19.82,16.12,13.72,10.62,10.12,8.42,9.52,11.02,13.42,14.52,15.92
2021,18.22,17.22,16.12,13.62,10.92,10.72,8.52,9.02,10.62,13.42,16.22,18.12
2022,18.02,17.72,16.42,13.62,11.92,9.92,9.02,10.52,10.72,11.92,16.32,17.02
2023,17.72,17.92,15.32,14.22,13.02,9.52,8.52,7.82,12.02,12.32,14.42,17.72
2024,19.32,17.72,14.82,13.32,9.22,9.12,8.52,9.72,10.82,12.92,14.92,17.82
2025,15.52,18.22,15.72,15.12,10.92,9.22,8.12,8.42,,,,
