,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2003,16.56,16.51,16.67,12.81,11.53,10.23,7.11,8.9,10.51,11.56,13.13,15.9
2004,18.27,15.99,14.53,12.07,11.36,9.57,7.1,7.63,9.81,11.94,14.31,13.46
2005,16.87,18.56,16.0,12.7,11.43,8.19,9.09,9.79,11.15,12.12,13.83,17.59
2006,17.09,17.32,14.39,14.56,10.93,7.18,8.09,8.73,11.49,11.88,13.53,13.62
2007,16.63,17.02,16.69,12.81,12.36,7.85,7.98,8.96,10.53,11.62,13.39,16.18
2008,18.36,17.62,16.49,13.68,9.59,8.88,8.31,8.38,11.03,12.03,14.06,15.86
2009,17.76,17.02,15.15,13.49,8.86,7.52,7.28,10.25,10.49,10.61,13.68,15.34
2010,16.77,17.77,16.05,14.24,11.29,8.77,7.62,9.62,10.94,11.71,14.79,17.24
2011,17.38,17.81,15.74,12.89,12.78,9.89,7.89,8.05,9.72,12.42,13.52,15.87
2012,16.37,16.41,14.57,13.58,10.21,7.82,8.45,9.91,10.81,11.77,12.75,16.82
2013,17.28,17.05,16.65,14.09,11.14,8.99,9.02,10.48,10.88,12.81,15.08,16.51
2014,16.12,17.22,15.22,14.39,11.29,10.22,8.07,8.62,10.82,12.12,13.29,16.02
2015,18.19,16.89,16.69,13.98,10.99,8.77,7.67,8.52,9.69,12.52,13.52,15.55
2016,17.58,19.47,16.95,14.15,12.92,10.15,8.58,8.31,10.99,12.72,14.09,15.41
2017,16.41,17.17,15.99,13.97,10.48,8.77,7.89,10.08,11.21,13.01,14.78,18.08
2018,20.28,18.05,16.92,13.34,11.15,8.57,8.91,9.69,10.51,12.38,14.19,16.97
2019,18.85,17.82,17.55,13.14,12.52,8.71,9.52,8.89,10.47,11.78,15.25,15.97
2020,17.21,18.21,15.39,13.47,11.27,9.97,8.64,10.07,11.02,13.21,14.61,15.82
2021,17.49,17.31,16.28,14.17,11.48,10.57,8.91,9.75,10.72,13.22,15.42,17.44
2022,18.22,17.77,16.92,14.54,12.55,9.91,9.12,10.32,10.95,12.21,15.54,16.99
2023,18.38,18.45,15.85,14.47,13.14,10.09,9.14,8.41,11.85,12.54,14.11,16.91
2024,18.52,17.25,14.79,13.82,9.82,9.88,8.99,9.81,11.22,12.91,14.65,17.35
2025,16.44,18.19,16.27,15.15,11.92,9.44,9.17,8.71,,,,
