,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1996,20.31,21.01,17.71,17.21,13.31,10.81,11.01,11.61,14.01,14.81,15.71,17.61
1997,18.41,20.01,18.31,15.61,14.51,10.91,10.31,11.01,12.61,14.41,16.41,18.11
1998,19.91,22.31,20.01,17.31,14.81,13.31,13.41,12.1,13.7,15.8,16.9,19.0
1999,22.1,20.9,20.4,17.0,14.7,12.1,11.3,11.1,13.0,15.2,17.0,17.6
2000,19.4,19.9,18.7,16.8,14.9,12.4,13.0,11.7,13.1,14.8,15.1,19.3
2001,19.0,21.1,18.9,16.6,15.0,11.2,10.0,12.0,13.4,16.2,16.6,19.4
2002,19.5,19.6,19.3,15.8,14.6,13.8,11.2,11.6,13.3,13.4,15.0,18.1
2003,19.0,19.5,19.1,16.4,14.5,13.2,10.0,11.6,13.6,13.8,15.9,19.0
2004,20.6,19.3,17.0,15.3,14.4,12.7,10.4,10.5,12.3,14.4,16.2,16.0
2005,19.3,21.2,19.8,16.4,15.2,12.0,12.2,11.9,13.9,15.0,16.3,19.6
2006,20.3,20.5,18.7,17.5,14.2,10.1,10.4,11.5,13.8,14.3,16.3,15.9
2007,19.5,19.8,19.7,15.9,15.1,11.9,11.5,12.2,13.3,14.3,15.7,18.8
2008,21.2,20.4,19.6,17.0,12.7,12.4,11.3,11.7,13.1,14.4,16.4,18.3
2009,19.7,20.9,18.1,16.4,12.2,10.0,10.4,12.9,13.4,13.4,16.0,18.3
2010,19.9,21.6,19.1,16.9,14.3,12.1,10.6,12.4,13.6,14.2,16.8,20.3
2011,20.6,21.1,18.8,16.4,15.4,13.4,11.5,10.7,12.3,15.3,16.2,18.4
2012,19.0,19.8,17.8,16.8,13.4,11.8,11.2,12.6,13.2,14.3,15.6,19.6
2013,20.3,20.2,19.8,17.7,14.1,12.1,11.4,12.6,13.6,15.1,17.6,18.6
2014,19.1,20.4,18.4,18.0,14.0,13.2,10.9,11.8,13.6,14.6,15.5,18.4
2015,21.0,20.2,20.1,17.0,13.8,12.4,10.7,11.5,12.8,14.7,16.2,18.4
2016,20.9,21.9,20.1,17.4,16.3,12.8,11.7,11.4,13.8,15.1,16.5,18.0
2017,19.3,20.5,19.7,17.7,13.8,12.1,11.2,12.7,13.8,15.3,17.0,20.5
2018,22.5,21.1,19.9,17.2,14.8,11.6,11.3,12.1,13.1,14.3,16.4,19.1
2019,21.1,20.8,20.1,15.9,15.0,11.7,12.1,12.1,13.3,14.6,17.4,19.3
2020,19.9,21.4,19.0,16.5,14.1,13.2,11.7,12.4,13.3,15.8,17.6,18.7
2021,20.4,20.5,19.4,17.3,14.4,13.4,11.6,12.3,13.3,15.6,18.2,21.0
2022,21.6,22.3,20.3,17.9,15.2,13.2,13.1,12.9,13.6,15.3,17.7,19.9
2023,20.4,20.1,18.2,17.9,15.7,12.4,12.2,10.9,14.2,15.3,16.7,19.6
2024,21.6,20.5,17.8,17.0,13.1,13.4,11.6,12.4,14.0,15.4,17.1,19.8
2025,19.9,21.6,19.3,18.7,14.8,13.2,12.2,11.4,,,,
